fecha_utc,accion,precio,pnl_pct,equity_despues
2026-07-20 07:33 UTC,SELL,1.1451,0.069,1000.04
2026-07-20 07:34 UTC,BUY,1.1452,,1000.04
2026-07-20 08:20 UTC,BUY,1.1444,,1000.04
2026-07-20 09:20 UTC,BUY,1.1435,,1000.04
2026-07-20 12:14 UTC,BUY,1.1427,,1000.04
2026-07-20 13:42 UTC,BUY,1.1419,,1000.04
2026-07-20 14:41 UTC,BUY,1.1410,,1000.04
2026-07-21 07:01 UTC,SELL,1.1427,0.069,1002.63
2026-07-21 07:02 UTC,BUY,1.1427,,1002.63
2026-07-21 12:42 UTC,BUY,1.1419,,1002.63
2026-07-21 13:39 UTC,BUY,1.1411,,1002.63
2026-07-21 20:58 UTC,BUY,1.1402,,1002.63
2026-07-22 06:03 UTC,SELL,1.1417,0.069,1003.25
2026-07-22 06:04 UTC,BUY,1.1416,,1003.25
2026-07-22 10:03 UTC,BUY,1.1407,,1003.25
2026-07-22 13:24 UTC,SELL,1.1419,0.069,1003.38
2026-07-22 13:25 UTC,BUY,1.1419,,1003.38
