fecha_utc,accion,precio,pnl_pct,equity_despues
2026-07-20 07:17 UTC,SELL,162.4530,0.069,1000.04
2026-07-20 07:18 UTC,BUY,162.4410,,1000.04
2026-07-20 07:34 UTC,BUY,162.3224,,1000.04
2026-07-20 11:32 UTC,BUY,162.2039,,1000.04
2026-07-20 12:02 UTC,SELL,162.4100,0.069,1000.33
2026-07-20 12:03 UTC,BUY,162.3830,,1000.33
2026-07-20 14:06 UTC,SELL,162.5270,0.069,1000.37
2026-07-20 14:07 UTC,BUY,162.5240,,1000.37
2026-07-21 08:10 UTC,SELL,162.6440,0.069,1000.41
2026-07-21 08:11 UTC,BUY,162.6330,,1000.41
2026-07-21 11:21 UTC,SELL,162.7530,0.069,1000.45
2026-07-21 11:22 UTC,BUY,162.7480,,1000.45
2026-07-21 13:51 UTC,SELL,162.8940,0.069,1000.49
2026-07-21 13:52 UTC,BUY,162.8880,,1000.49
2026-07-21 14:54 UTC,SELL,163.0420,0.069,1000.54
2026-07-21 14:55 UTC,BUY,163.0100,,1000.54
2026-07-21 18:05 UTC,SELL,163.1920,0.069,1000.58
2026-07-21 18:06 UTC,BUY,163.1580,,1000.58
2026-07-22 00:20 UTC,BUY,163.0389,,1000.58
2026-07-22 01:32 UTC,SELL,163.2040,0.069,1000.70
2026-07-22 01:33 UTC,BUY,163.1840,,1000.70
2026-07-22 06:01 UTC,BUY,163.0649,,1000.70
2026-07-22 07:30 UTC,BUY,162.9458,,1000.70
2026-07-22 07:30 UTC,BUY,162.8269,,1000.70
2026-07-22 07:30 UTC,BUY,162.7080,,1000.70
2026-07-22 07:33 UTC,SELL,162.9270,0.069,1001.98
2026-07-22 07:34 UTC,BUY,162.9200,,1001.98
2026-07-22 08:08 UTC,SELL,163.0590,0.069,1002.02
2026-07-22 08:09 UTC,BUY,163.0310,,1002.02
