fecha_utc,accion,precio,pnl_pct,equity_despues
2026-07-20 07:33 UTC,SELL,1.1451,0.069,1000.04
2026-07-20 07:34 UTC,BUY,1.1452,,1000.04
2026-07-20 08:20 UTC,BUY,1.1444,,1000.04
2026-07-20 09:20 UTC,BUY,1.1435,,1000.04
2026-07-20 12:14 UTC,BUY,1.1427,,1000.04
2026-07-20 13:42 UTC,BUY,1.1419,,1000.04
2026-07-20 14:41 UTC,BUY,1.1410,,1000.04
2026-07-21 09:38 UTC,SELL,1.1431,0.069,1000.90
2026-07-21 09:39 UTC,BUY,1.1430,,1000.90
2026-07-21 11:10 UTC,BUY,1.1422,,1000.90
2026-07-21 13:26 UTC,BUY,1.1413,,1000.90
2026-07-21 18:19 UTC,BUY,1.1405,,1000.90
2026-07-22 13:31 UTC,SELL,1.1422,0.069,1001.23
2026-07-22 13:32 UTC,BUY,1.1423,,1001.23
2026-07-22 14:08 UTC,BUY,1.1415,,1001.23
2026-07-23 02:34 UTC,SELL,1.1427,0.069,1001.33
2026-07-23 02:35 UTC,BUY,1.1426,,1001.33
2026-07-23 04:08 UTC,SELL,1.1436,0.069,1001.38
2026-07-23 04:09 UTC,BUY,1.1436,,1001.38
2026-07-23 06:41 UTC,BUY,1.1428,,1001.38
2026-07-23 08:26 UTC,BUY,1.1420,,1001.38
2026-07-23 10:21 UTC,BUY,1.1411,,1001.38
2026-07-23 11:25 UTC,BUY,1.1403,,1001.38
2026-07-23 11:34 UTC,BUY,1.1395,,1001.38
2026-07-23 12:24 UTC,BUY,1.1386,,1001.38
2026-07-27 00:23 UTC,SELL,1.1410,0.069,1002.70
2026-07-27 00:24 UTC,BUY,1.1410,,1002.70
2026-07-27 06:40 UTC,SELL,1.1419,0.069,1002.74
2026-07-27 06:41 UTC,BUY,1.1421,,1002.74
2026-07-27 06:55 UTC,BUY,1.1412,,1002.74
2026-07-27 07:48 UTC,BUY,1.1404,,1002.74
2026-07-27 11:11 UTC,BUY,1.1396,,1002.74
2026-07-27 12:16 UTC,BUY,1.1387,,1002.74
2026-07-27 13:56 UTC,BUY,1.1379,,1002.74
2026-07-27 19:13 UTC,BUY,1.1371,,1002.74
2026-07-28 15:12 UTC,SELL,1.1395,0.069,1004.06
2026-07-28 15:13 UTC,BUY,1.1396,,1004.06
2026-07-28 15:45 UTC,SELL,1.1405,0.069,1004.11
2026-07-28 15:46 UTC,BUY,1.1404,,1004.11
2026-07-28 17:43 UTC,BUY,1.1395,,1004.11
